Name,Artist,Year,Mode,Game
7 rings,Ariana Grande,2019,Trio,Just Dance 2020
Old Town Road (Remix) (DC),Lil Nas X ft. Billy Ray Cyrus,2019,Solo,Just Dance 2020
Skibidi,Little Big,2018,Duet,Just Dance 2020
MA ITU,Stella Mwangi,2019,Solo,Just Dance 2020
Con Calma,Daddy Yankee ft. Snow,2019,Duet,Just Dance 2020
Sushi,Merk & Kremont,2018,Solo,Just Dance 2020
Kill This Love,BLACKPINK,2019,Dance Crew,Just Dance 2020
Baby Shark (K),Pinkfong,2016,Duet,Just Dance 2020
Taki Taki,"DJ Snake ft. Selena Gomez, Ozuna, Cardi B",2018,Solo,Just Dance 2020
Rain Over Me,Pitbull ft. Marc Anthony,2011,Solo,Just Dance 2020
Tel Aviv (SA-I),Omar Adam Ft. Arisa,2013,Trio,Just Dance 2020
Ugly Beauty (​怪美的​),Jolin Tsai,2018,Trio,Just Dance 2020
bad guy,Billie Eilish,2019,Solo,Just Dance 2020
High Hopes (C),Panic! at the Disco,2018,Dance Crew,Just Dance 2020
Just An Illusion *,Imagination (Equinox Stars),1982,Duet,Just Dance 2020
God Is A Woman,Ariana Grande,2018,Solo,Just Dance 2020
I Like It,"Cardi B, Bad Bunny & J Balvin",2018,Trio,Just Dance 2020
Vodovorot,XS Project,2011,Solo,Just Dance 2020
I Am The Best (내가 제일 잘 나가),2NE1,2011,Trio,Just Dance 2020
Fit But You Know It,The Streets,2004,Solo,Just Dance 2020
Policeman,Eva Simons ft. Konshens,2015,Trio,Just Dance 2020
Everybody (Backstreet’s Back) *,Backstreet Boys (Millennium Alert),1997,Dance Crew,Just Dance 2020
Bangarang,Skrillex ft. Sirah,2011,Solo,Just Dance 2020
FANCY,TWICE,2019,Trio,Just Dance 2020
Soy Yo,Bomba Estéreo,2015,Solo,Just Dance 2020
Le Bal Masqué *,La Compagnie Créole (Dr. Creole),1984,Dance Crew,Just Dance 2020
The Time (Dirty Bit),The Black Eyed Peas,2010,Dance Crew,Just Dance 2020
My New Swag (我的新衣),VAVA ft. Ty & Nina Wang,2017,Solo,Just Dance 2020
Infernal Galop (Can-Can) *,Jacques Offenbach (The Just Dance Orchestra),1858,Duet,Just Dance 2020
Con Altura,ROSALÍA & J Balvin ft. El Guincho,2019,Solo,Just Dance 2020
Stop Movin’,Royal Republic,2019,Trio,Just Dance 2020
Só Depois do Carnaval,Lexa,2019,Solo,Just Dance 2020
Talk (DI),Khalid,2019,Solo,Just Dance 2020
Bad Boy,Riton & Kah-Lo,2018,Duet,Just Dance 2020
Keep in Touch,JD McCrary,2019,Solo,Just Dance 2020
365,Zedd & Katy Perry,2019,Solo,Just Dance 2020
Get Busy (C),KOYOTIE,2019,Duet,Just Dance 2020
Bassa Sababa,Netta,2019,Solo,Just Dance 2020
Fancy Footwork,Chromeo,2007,Solo,Just Dance 2020
I Don’t Care,Ed Sheeran & Justin Bieber,2019,Solo,Just Dance 2020
Freeze Please (K),The Just Dance School,2019,Duet,Just Dance 2020
Happy Birthday (K),Top Culture,2019,Solo,Just Dance 2020
Jungle Dances (K),The Sunlight Shakers,2019,Solo,Just Dance 2020
Kitchen Kittens (K),Cooking Meow Meow,2019,Solo,Just Dance 2020
Magical Morning (K),The Just Dance Orchestra,2019,Solo,Just Dance 2020
Mini Yo School (K),Dancing Bros.,2019,Duet,Just Dance 2020
My Friend The Dragon (K),The Just Dance Orchestra,2019,Duet,Just Dance 2020
The Frog Concert (K),Groove Century,2019,Solo,Just Dance 2020
Always Look On The Bright Side Of Life * (8th),Monty Python (The Frankie Bostello Orchestra),1979,Dance Crew,Just Dance 2020
Into the Unknown * (I) (K),Idina Menzel & AURORA (Disney’s Frozen 2),2019,Solo,Just Dance 2020
Let’s Groove * (D-JDU) (DC),"Earth, Wind & Fire (Equinox Stars)",1981,Trio,Just Dance 2020
Djadja (FR),Aya Nakamura,2018,Solo,Just Dance 2020
Spinning (Кружит) (RU),Монатик,2016,Duet,Just Dance 2020
10.000 luchtballonnen (BL),K3,2015,Trio,Just Dance 2020
EZ DO DANCE (JD-WIIU),TRF,1993,Duet,Just Dance 2020
Hot Pot Cool (CH),Aya,2014,Trio,Just Dance 2020
Rainbow Rhythm (CH),肥皂菌、易言、音阙诗听/赵方婧、西瓜Kune,2020,Duet,Just Dance 2020
Princess (CH),Jam Hsiao,2009,Solo,Just Dance 2020
