Cotton Eye Joe,Rednex,1994,Solo,Just Dance
Eye of the Tiger,Survivor,1982,Solo,Just Dance
Fame,Irene Cara (The Girly Team),1980,Solo,Just Dance
Heart of Glass,Blondie,1979,Solo,Just Dance
Hot N Cold,Katy Perry,2008,Solo,Just Dance
I Get Around,The Beach Boys,1964,Solo,Just Dance
Step by Step,New Kids on the Block,1990,Solo,Just Dance
That’s the Way (I Like It),KC and the Sunshine Band,1975,Solo,Just Dance
U Can’t Touch This,MC Hammer (Groove Century),1990,Solo,Just Dance
Who Let the Dogs Out?,Baha Men (The Sunlight Shakers),2000,Solo,Just Dance
Baby Girl,Reggaeton,2009,Solo,Just Dance 2
Big Girl (You Are Beautiful),MIKA,2007,Solo,Just Dance 2
Cosmic Girl,Jamiroquai,1996,Solo,Just Dance 2
Crazy Christmas,Santa Clones,2010,Solo,Just Dance 2
Down By The Riverside,The Reverend Horatio Duncan & Amos Sweets,1927,Solo,Just Dance 2
Firework,Katy Perry,2010,Solo,Just Dance 2
Funkytown,Lipps Inc. (Sweat Invaders),1980,Solo,Just Dance 2
Futebol Crazy,Paul J. Borg (The World Cup Girls),2009,Solo,Just Dance 2
Girlfriend,Avril Lavigne,2007,Duet,Just Dance 2
Hey Ya,Outkast,2003,Solo,Just Dance 2
Hot Stuff,Donna Summer,1980,Duet,Just Dance 2
Idealistic,Digitalism,2007,Solo,Just Dance 2
I Want You Back,The Jackson 5,1971,Solo,Just Dance 2
Jai Ho (You Are My Destiny),A.R. Rahman featuring the Pussycat Dolls and Nicole Scherzinger,2009,Solo,Just Dance 2
Katti Kalandal,Bollywood,2000,Duet,Just Dance 2
Kung Fu Fighting,Carl Douglass,1974,Duet,Just Dance 2
Mambo No. 5 (A Little Bit of Monika),Lou Bega (The Lemon Cubes),1999,Duet,Just Dance 2
Monster Mash,Boris Pickett and & The Crypt-Kickers (The Frighteners),1962,Solo,Just Dance 2
Mugsy Baloney,Charleston,1924,Duet,Just Dance 2
Nine In The Afternoon,Panic! At the Disco,2008,Duet,Just Dance 2
Professor Pumplestickle,Nick Phoenix and Thomas J. Bergersen,2006,Duet,Just Dance 2
Rasputin,Boney M.,1978,Solo,Just Dance 2
Sway (Quién Será),Michael Bublé (Marine Band),2003,Duet,Just Dance 2
TiK ToK,Ke$ha,2009,Solo,Just Dance 2
